"Time (ms)","Recording (a.u.)"
8.344987300E0,2.256153226E-1
8.367663896E0,2.357054949E-1
8.390340492E0,2.452521473E-1
8.413017088E0,2.537817359E-1
8.435693684E0,2.620717883E-1
8.458370279E0,2.703055143E-1
8.481046875E0,2.774837315E-1
8.503723471E0,2.833894193E-1
8.526400067E0,2.879091799E-1
8.549076663E0,2.911614776E-1
8.571753259E0,2.927348614E-1
8.594429855E0,2.925908566E-1
8.617106451E0,2.918543816E-1
8.639783047E0,2.900028229E-1
8.662459643E0,2.866321802E-1
8.685136239E0,2.828459144E-1
8.707812835E0,2.783401310E-1
8.730489431E0,2.720628977E-1
8.753166026E0,2.648652196E-1
8.775842622E0,2.573072910E-1
8.798519218E0,2.479379177E-1
8.821195814E0,2.366178036E-1
8.843872410E0,2.245675474E-1
8.866549006E0,2.123877257E-1
8.889225602E0,2.003374398E-1
8.911902198E0,1.880105883E-1
8.934578794E0,1.759098768E-1
8.957255390E0,1.650564671E-1
8.979931986E0,1.545000523E-1
9.002608582E0,1.433815807E-1
9.025285178E0,1.320112050E-1
9.047961773E0,1.206292510E-1
9.070638369E0,1.080913246E-1
9.093314965E0,9.345680475E-2
9.115991561E0,7.770143449E-2
9.138668157E0,6.173647195E-2
9.161344753E0,4.565700889E-2
9.184021349E0,2.922219038E-2
9.206697945E0,1.263938658E-2
9.229374541E0,-4.415446427E-3
9.252051137E0,-2.213358134E-2
9.274727733E0,-4.004557058E-2
9.297404329E0,-5.796964467E-2
9.320080925E0,-7.483733445E-2
9.342757520E0,-9.086808562E-2
9.365434116E0,-1.067680269E-1
9.388110712E0,-1.224872023E-1
9.410787308E0,-1.380330920E-1
9.433463904E0,-1.526049823E-1
9.456140500E0,-1.663318425E-1
9.478817096E0,-1.792410314E-1
9.501493692E0,-1.912746727E-1
9.524170288E0,-2.022847235E-1
9.546846884E0,-2.120750099E-1
9.569523480E0,-2.212306559E-1
9.592200076E0,-2.291218191E-1
9.614876672E0,-2.361788750E-1
9.637553267E0,-2.432601452E-1
9.660229863E0,-2.500103414E-1
9.682906459E0,-2.564869523E-1
9.705583055E0,-2.628025413E-1
9.728259651E0,-2.688592374E-1
9.750936247E0,-2.742084563E-1
9.773612843E0,-2.793343067E-1
9.796289439E0,-2.847335935E-1
9.818966035E0,-2.894300520E-1
9.841642631E0,-2.926908731E-1
9.864319227E0,-2.944887280E-1
9.886995823E0,-2.951775193E-1
9.909672419E0,-2.945974469E-1
9.932349014E0,-2.926067114E-1
9.955025610E0,-2.892492414E-1
9.977702206E0,-2.842721939E-1
